# Total Bytes Sent
# simtime, fwdTotalBytesSent
83200.000000, 198510917460
83300.000000, 199818223673
83400.000000, 201139984640
83500.000000, 202734667894
83600.000000, 204068927394
83700.000000, 205724105867
83800.000000, 207215359825
83900.000000, 208349197747
84000.000000, 209609142890
84100.000000, 211744413248
84200.000000, 213877377789
84300.000000, 216202989542
84400.000000, 218979567430
84500.000000, 221042061857
84600.000000, 223603260812
84700.000000, 225882356688
84800.000000, 228878550312
84900.000000, 231731326880
85000.000000, 234870132000
85100.000000, 237956094553
85200.000000, 241521675886
85300.000000, 244876291092
85400.000000, 246597105635
85500.000000, 248444491123
85600.000000, 249946884660
85700.000000, 251404734718
85800.000000, 252613078749
85900.000000, 253697310125
86000.000000, 254856542130
86100.000000, 256031494635
86200.000000, 257042660410
86300.000000, 257821935393
86400.000000, 258327019433
86500.000000, 259011573121
86600.000000, 259551153416
86700.000000, 260492728339
86800.000000, 261325134590
86900.000000, 261779239693
87000.000000, 262574428315
87100.000000, 263311912710
87200.000000, 264327972408
87300.000000, 265074772980
87400.000000, 265727122946
87500.000000, 266535308707
87600.000000, 267117606901
87700.000000, 267661910969
87800.000000, 268870529328
87900.000000, 270013285479
88000.000000, 271323299081
88100.000000, 272109000542
88200.000000, 273464710547
88300.000000, 274732682833
88400.000000, 275627907397
88500.000000, 276015624916
88600.000000, 276189997307
88700.000000, 276810783724
88800.000000, 277284950564
88900.000000, 277791213232
89000.000000, 278219046179
89100.000000, 278590820025
89200.000000, 279230556861
89300.000000, 279330427809
89400.000000, 279426109706
89500.000000, 279584215230
89600.000000, 279704627425
89700.000000, 279797712203
89800.000000, 279905345584
89900.000000, 279998888749
90000.000000, 280098879581
90100.000000, 280186449792
90200.000000, 280284717502
90300.000000, 280414654025
90400.000000, 280519586812
90500.000000, 280606440318
90600.000000, 280690611876
90700.000000, 280770372713
90800.000000, 280848291155
90900.000000, 280898063906
91000.000000, 280983659646
91100.000000, 281054268192
91200.000000, 281132199004
91300.000000, 281209875494
91400.000000, 281298136699
91500.000000, 281349504223
91600.000000, 281439303019
91700.000000, 281511391042
91800.000000, 281574869183
91900.000000, 281633468306
92000.000000, 281721897670
92100.000000, 281814226127
92200.000000, 281897982902
92300.000000, 281971937485
92400.000000, 282075430630
92500.000000, 282180146594
92600.000000, 282279331548
92700.000000, 282418882536
92800.000000, 282548682789
92900.000000, 282643979368
93000.000000, 282733954172
93100.000000, 282810431117
93200.000000, 282875278343
93300.000000, 282967154472
93400.000000, 283065694764
93500.000000, 283164171546
93600.000000, 283282517984
93700.000000, 283384609678
93800.000000, 283482220382
93900.000000, 283589033245
94000.000000, 283698209855
94100.000000, 283900220564
94200.000000, 284103093915
94300.000000, 284242387983
94400.000000, 284377185957
94500.000000, 284511436205
94600.000000, 284643048429
94700.000000, 284763387508
94800.000000, 284885693681
94900.000000, 284984810549
95000.000000, 285103712499
95100.000000, 285256726632
95200.000000, 285375565061
95300.000000, 285559566719
95400.000000, 285713038512
95500.000000, 285845080895
95600.000000, 286043924787
95700.000000, 286178062499
95800.000000, 286374044264
95900.000000, 286812442708
96000.000000, 287957897851
96100.000000, 288242914616
96200.000000, 288319790725
96300.000000, 288376903512
96400.000000, 288443756306
96500.000000, 288533852719
96600.000000, 288585447499
96700.000000, 288643853325
96800.000000, 288721231608
96900.000000, 288770036814
97000.000000, 288827766482
97100.000000, 288871960290
97200.000000, 288980518271
97300.000000, 289075291028
97400.000000, 289141597517
97500.000000, 289179420220
97600.000000, 289232117087
97700.000000, 289325606176
97800.000000, 289381167646
97900.000000, 289427275478
98000.000000, 289486117845
98100.000000, 289530599442
98200.000000, 289574070593
98300.000000, 289612721841
98400.000000, 289651588985
98500.000000, 289681299090
98600.000000, 289726401110
98700.000000, 289801463113
98800.000000, 289854627104
98900.000000, 289931095619
99000.000000, 289991867985
99100.000000, 290060459563
99200.000000, 290173265331
99300.000000, 290282423482
99400.000000, 290371748649
99500.000000, 290469256983
99600.000000, 290524751550
99700.000000, 290586296453
99800.000000, 290663547861
99900.000000, 290755238322
100000.000000, 290845268015
100100.000000, 290920518655
100200.000000, 291004720700
100300.000000, 291082202052
100400.000000, 291144250605
100500.000000, 291204141527
100600.000000, 291272868129
100700.000000, 291355999891
100800.000000, 291454514572
100900.000000, 291542408516
101000.000000, 291648030045
101100.000000, 291745696770
101200.000000, 291835817048
101300.000000, 291934573549
101400.000000, 292049638374
101500.000000, 292140286391
101600.000000, 292242057235
101700.000000, 292356797703
101800.000000, 292474780668
101900.000000, 292638047544
102000.000000, 292797158291
102100.000000, 292934630156
102200.000000, 293070577495
102300.000000, 293208512026
102400.000000, 293369634997
102500.000000, 293506161497
102600.000000, 293647612910
102700.000000, 293809286763
102800.000000, 293968657842
102900.000000, 294087840952
103000.000000, 294203123119
103100.000000, 294332616728
103200.000000, 294461495565
103300.000000, 294588105647
103400.000000, 294716621811
103500.000000, 294902421329
103600.000000, 295028388842
103700.000000, 295181576990
103800.000000, 295297820125
103900.000000, 295393453526
104000.000000, 295457432467
104100.000000, 295571298670
104200.000000, 295654204457
104300.000000, 295741062266
104400.000000, 295829492033
104500.000000, 295943936453
104600.000000, 296025206628
104700.000000, 296125723526
104800.000000, 296199988405
104900.000000, 296290771396
105000.000000, 296389487671
105100.000000, 296456335743
105200.000000, 296543909372
105300.000000, 296658818065
105400.000000, 296745265352
105500.000000, 296878403993
105600.000000, 296984761168
105700.000000, 297075746342
105800.000000, 297182830181
105900.000000, 297275881113
106000.000000, 297372204558
106100.000000, 297489848111
106200.000000, 297577462584
106300.000000, 297668174722
106400.000000, 297739934236
106500.000000, 297806690038
106600.000000, 297888612010
106700.000000, 297985571664
106800.000000, 298075938153
106900.000000, 298161386745
107000.000000, 298230134834
107100.000000, 298331377550
107200.000000, 298410856936
107300.000000, 298482736606
107400.000000, 298596107153
107500.000000, 298713355168
107600.000000, 298814630113
107700.000000, 298967897886
107800.000000, 299059580262
107900.000000, 299213680748
108000.000000, 299352952511
108100.000000, 299465592549
108200.000000, 299603005679
108300.000000, 299748970209
108400.000000, 299915088437
108500.000000, 300125303996
108600.000000, 300236195365
108700.000000, 300420522114
108800.000000, 300779499886
108900.000000, 301167171736
109000.000000, 301442270022
109100.000000, 301546216159
109200.000000, 301684434740
109300.000000, 302006676311
109400.000000, 302416825597
109500.000000, 302717234974
