# Total Contact Count
# simtime, linkContactCount
113800.000000, 250216
113900.000000, 250368
114000.000000, 250520
114100.000000, 250714
114200.000000, 250885
114300.000000, 251081
114400.000000, 251317
114500.000000, 251534
114600.000000, 251737
114700.000000, 251950
114800.000000, 252192
114900.000000, 252420
115000.000000, 252692
115100.000000, 252867
115200.000000, 253066
115300.000000, 253311
115400.000000, 253555
115500.000000, 253774
115600.000000, 253960
115700.000000, 254165
115800.000000, 254360
115900.000000, 254566
116000.000000, 254760
116100.000000, 254999
116200.000000, 255198
116300.000000, 255418
116400.000000, 255572
116500.000000, 255764
116600.000000, 255959
116700.000000, 256191
116800.000000, 256407
116900.000000, 256613
117000.000000, 256818
117100.000000, 257058
117200.000000, 257265
117300.000000, 257481
117400.000000, 257711
117500.000000, 257921
117600.000000, 258189
117700.000000, 258425
117800.000000, 258680
117900.000000, 258920
118000.000000, 259151
118100.000000, 259414
118200.000000, 259644
118300.000000, 259875
118400.000000, 260135
118500.000000, 260351
118600.000000, 260581
118700.000000, 260864
118800.000000, 261141
118900.000000, 261376
119000.000000, 261644
119100.000000, 261861
119200.000000, 262125
119300.000000, 262385
119400.000000, 262638
119500.000000, 262876
119600.000000, 263149
119700.000000, 263440
119800.000000, 263693
119900.000000, 263951
120000.000000, 264177
120100.000000, 264438
120200.000000, 264684
120300.000000, 264960
120400.000000, 265256
120500.000000, 265541
120600.000000, 265797
120700.000000, 266078
120800.000000, 266295
120900.000000, 266512
121000.000000, 266788
121100.000000, 267061
121200.000000, 267309
121300.000000, 267556
121400.000000, 267796
121500.000000, 268033
121600.000000, 268258
121700.000000, 268487
121800.000000, 268731
121900.000000, 268976
122000.000000, 269196
122100.000000, 269457
122200.000000, 269710
122300.000000, 269906
122400.000000, 270143
122500.000000, 270376
122600.000000, 270608
122700.000000, 270867
122800.000000, 271104
122900.000000, 271349
123000.000000, 271588
123100.000000, 271823
123200.000000, 272104
123300.000000, 272342
123400.000000, 272567
123500.000000, 272834
123600.000000, 273115
123700.000000, 273365
123800.000000, 273644
123900.000000, 273907
124000.000000, 274153
124100.000000, 274432
124200.000000, 274703
124300.000000, 274961
124400.000000, 275264
124500.000000, 275547
124600.000000, 275825
124700.000000, 276099
124800.000000, 276380
124900.000000, 276616
125000.000000, 276882
125100.000000, 277131
125200.000000, 277344
125300.000000, 277512
125400.000000, 277706
125500.000000, 277931
125600.000000, 278162
125700.000000, 278402
125800.000000, 278677
125900.000000, 278925
126000.000000, 279211
126100.000000, 279430
126200.000000, 279686
126300.000000, 279917
126400.000000, 280128
126500.000000, 280364
126600.000000, 280645
126700.000000, 280908
126800.000000, 281168
126900.000000, 281429
127000.000000, 281666
127100.000000, 281904
127200.000000, 282158
127300.000000, 282421
127400.000000, 282654
127500.000000, 282937
127600.000000, 283184
127700.000000, 283445
127800.000000, 283749
127900.000000, 284052
128000.000000, 284364
128100.000000, 284609
128200.000000, 284893
128300.000000, 285183
128400.000000, 285442
128500.000000, 285707
128600.000000, 285977
128700.000000, 286243
128800.000000, 286556
128900.000000, 286838
129000.000000, 287060
129100.000000, 287315
129200.000000, 287563
129300.000000, 287827
129400.000000, 288095
129500.000000, 288352
129600.000000, 288623
129700.000000, 288905
129800.000000, 289208
129900.000000, 289459
130000.000000, 289707
130100.000000, 289968
130200.000000, 290271
130300.000000, 290514
130400.000000, 290761
